"Data";"VelocidadeVentoMedia";"VelocidadeVentoMaximaMedia"
"176";"31/08/2015";2.161166;8.23104
"177";"30/09/2015";1.792419;9
"178";"31/10/2015";2.003416;8
"179";"30/11/2015";1.058123;5
"180";"31/12/2015";0.898373;7
"181";"31/01/2016";2.007119;7
"182";"29/02/2016";1.255861;7
"183";"31/03/2016";1.400334;9
"184";"30/04/2016";1.63558;7
"185";"31/05/2016";1.067311;5
"186";"30/06/2016";1.890561;8
"187";"31/07/2016";1.759772;7
"188";"31/08/2016";1.756081;6
"189";"30/09/2016";1.690814;8
"190";"31/10/2016";1.573619;6
"191";"30/11/2016";1.494665;8
"192";"31/12/2016";1.368076;6
"193";"31/01/2017";1.340883;7
"194";"28/02/2017";1.643889;8
"195";"31/03/2017";1.175148;6
"196";"30/04/2017";1.590814;5
"197";"31/05/2017";1.916152;7
"198";"30/06/2017";2.313999;9
"199";"31/07/2017";3.055006;8
"200";"31/08/2017";2.389271;10
"201";"30/09/2017";3.513999;9
"202";"31/10/2017";2.881856;11.83212
"203";"30/11/2017";1.765465;6.17328
"204";"31/12/2017";1.759053;12.861
"205";"31/01/2018";1.7148;6.17328
"206";"28/02/2018";1.880156;8.23104
"207";"31/03/2018";1.62906;10.2888
"208";"30/04/2018";2.034639;10.2888
"209";"31/05/2018";2.323277;8.23104
"210";"30/06/2018";2.217808;5.1444
"211";"31/07/2018";2.511352;8.23104
"212";"31/08/2018";2.068943;7.20216
"213";"30/09/2018";1.960588;8.23104
"214";"31/10/2018";1.37184;7.20216
"215";"30/11/2018";1.897712;9.77436
"216";"31/12/2018";1.703737;6.17328
